dateEndOfInteraction,dateStartOfInteraction,endOfInteraction,startOfInteraction,subjectID,ID
19/04/2024,19/04/2024,10:58:34,10:45:07,mt28,
19/04/2024,19/04/2024,11:12:19,11:12:01,mt28,
19/04/2024,19/04/2024,11:17:24,11:15:35,mt28,
19/04/2024,19/04/2024,11:30:32,11:28:56,mt28,
19/04/2024,19/04/2024,12:04:19,12:03:38,mt28,
19/04/2024,19/04/2024,14:07:54,14:07:35,mt28,
19/04/2024,19/04/2024,14:17:20,14:14:37,mt28,
19/04/2024,19/04/2024,14:22:36,14:20:24,mt28,
19/04/2024,19/04/2024,14:40:23,14:25:54,mt28,
18/03/2024,18/03/2024,00:09:31,20:23:32,nf29,
19/03/2024,19/03/2024,06:46:37,00:09:34,nf29,
25/03/2024,25/03/2024,00:53:49,21:13:32,nf29,
26/03/2024,26/03/2024,10:23:16,00:53:51,nf29,
17/04/2024,17/04/2024,11:29:09,11:08:59,rr16,
17/04/2024,17/04/2024,15:48:59,11:36:44,rr16,
17/04/2024,17/04/2024,16:01:51,16:00:43,rr16,
17/04/2024,17/04/2024,16:09:54,16:05:00,rr16,
17/04/2024,17/04/2024,16:26:37,16:14:26,rr16,
17/04/2024,17/04/2024,16:35:38,16:34:35,rr16,
17/04/2024,17/04/2024,17:00:03,16:44:16,rr16,
17/04/2024,17/04/2024,18:02:35,17:07:09,rr16,
15/04/2024,15/04/2024,19:37:37,17:41:34,sm07,
15/04/2024,15/04/2024,20:06:51,20:06:10,sm07,
15/04/2024,15/04/2024,21:38:59,21:32:22,sm07,
15/04/2024,15/04/2024,22:04:43,21:59:37,sm07,
15/04/2024,15/04/2024,22:25:41,22:18:15,sm07,
16/04/2024,16/04/2024,10:33:52,10:08:28,sm07,
16/04/2024,16/04/2024,11:22:24,10:40:01,sm07,
16/04/2024,16/04/2024,12:28:44,11:49:03,sm07,
16/04/2024,16/04/2024,16:26:24,13:09:57,sm07,
16/04/2024,16/04/2024,21:32:20,21:10:01,sm07,
17/04/2024,17/04/2024,08:28:31,08:11:12,sm07,
